DateTime;BTC;ETH;USDT;BNB;SOL;Others
10.07.2016;10247292403,93;896902499,34;5951586,39;0,00;0,00;1170953286,35
17.07.2016;10434741391,77;953757991,02;6951613,37;0,00;0,00;1471648651,84
24.07.2016;10338572708,25;1176252971,00;6951591,00;0,00;0,00;1459422601,75
31.07.2016;10340889221,83;1026305197,78;6951648,18;0,00;0,00;1408653804,20
07.08.2016;9285937038,23;898343259,02;6948510,74;0,00;0,00;1455671416,00
14.08.2016;9258735937,79;960854022,26;6951586,86;0,00;0,00;1385058325,09
21.08.2016;9208215376,02;936015579,33;6951591,00;0,00;0,00;1387817773,65
28.08.2016;9023610648,70;929687679,98;6951591,00;0,00;0,00;1293850048,32
04.09.2016;9486373844,83;982950196,86;6951591,00;0,00;0,00;1389424719,31
11.09.2016;9887773726,85;1023632916,19;6951590,95;0,00;0,00;1437641510,01
18.09.2016;9623944105,50;1066616876,85;6951584,73;0,00;0,00;1417987464,91
25.09.2016;9575355371,19;1083511238,38;6951585,98;0,00;0,00;1424782252,45
02.10.2016;9761333067,22;1114202868,52;6951590,95;0,00;0,00;1365412633,32
09.10.2016;9852485145,30;1035586352,15;6951590,95;0,00;0,00;1400377359,60
16.10.2016;10176766350,92;1018540090,99;6951590,85;0,00;0,00;1377141647,24
23.10.2016;10479669329,55;1033971025,51;6951589,32;0,00;0,00;1424807863,62
30.10.2016;11388836334,27;891168049,51;6951589,73;0,00;0,00;1288944186,49
06.11.2016;11233033306,50;941732522,94;6951588,73;0,00;0,00;1366582869,83
13.11.2016;11264543084,39;849341460,25;6951589,80;0,00;0,00;1354563545,55
20.11.2016;12027477304,94;832050375,97;6951589,80;0,00;0,00;1307720537,29
27.11.2016;11773780502,44;804084701,71;6951589,80;0,00;0,00;1285683046,05
04.12.2016;12363543726,33;684257741,68;6951736,40;0,00;0,00;1273546315,58
11.12.2016;12423597454,08;705363349,74;6951595,52;0,00;0,00;1266087472,66
18.12.2016;12694811835,48;684028136,91;6951771,20;0,00;0,00;1294308096,40
25.12.2016;14450083950,58;633791855,03;6951626,18;0,00;0,00;1409872728,20
01.01.2017;15491191078,52;698148582,07;9951670,39;0,00;0,00;1536208445,03
08.01.2017;14611436883,27;865667437,13;14951726,29;0,00;0,00;1506343953,30
15.01.2017;13174247860,40;864036600,17;14952066,33;0,00;0,00;1480363217,10
22.01.2017;14863609421,69;961461115,21;14951704,90;0,00;0,00;1609677086,20
29.01.2017;14873957220,63;933090757,88;14951770,85;0,00;0,00;1646299514,64
05.02.2017;16847343179,30;1013392172,77;24951571,50;0,00;0,00;1782813556,44
12.02.2017;16214597429,20;1008032746,72;24950975,18;0,00;0,00;1723819040,90
19.02.2017;17056569066,05;1140873274,15;24951216,10;0,00;0,00;1734606635,69
26.02.2017;18518937117,19;1206149617,44;24952084,63;0,00;0,00;1707561692,74
05.03.2017;20315993973,51;1655022306,36;24951229,42;0,00;0,00;1949232106,72
12.03.2017;19073207581,58;1924658489,80;34951919,11;0,00;0,00;2202182329,50
19.03.2017;15846004246,59;3193599257,35;44952207,56;0,00;0,00;2712044096,51
26.03.2017;15814856914,37;4574532781,12;44947036,55;0,00;0,00;3014063139,96
02.04.2017;17559345252,63;4582702035,41;54927878,02;0,00;0,00;3955925441,94
09.04.2017;19134336512,33;4009004642,05;54935165,62;0,00;0,00;4710423840,00
16.04.2017;19085099185,74;4450139912,38;50740673,16;0,00;0,00;5080119940,72
23.04.2017;20066218960,47;4420033151,90;51488828,56;0,00;0,00;5404459379,07
30.04.2017;21548458537,62;6248835922,67;59055708,81;0,00;0,00;7460451366,90
07.05.2017;25768507379,68;8942951789,74;60446157,41;0,00;0,00;11544294609,17
14.05.2017;29405073820,05;8322378946,92;60697425,27;0,00;0,00;16897250895,76
21.05.2017;33779318021,24;11705707879,04;61940825,29;0,00;0,00;25468834106,44
28.05.2017;33595986106,78;14608584507,77;107331369,83;0,00;0,00;20309897439,62
04.06.2017;41708285206,15;20659812407,62;107470687,91;0,00;0,00;28360735570,31
11.06.2017;48208688680,85;31296814564,87;130665290,60;0,00;0,00;30557831335,68
18.06.2017;43539274675,93;35133780828,74;126049772,97;0,00;0,00;33744892674,36
25.06.2017;42783762418,41;30005926010,11;147510147,92;0,00;0,00;36283804687,56
02.07.2017;40010469450,42;25572795595,65;219180430,46;0,00;0,00;29920157019,47
09.07.2017;42283166364,62;23454654721,82;219893503,28;0,00;0,00;30554285410,27
16.07.2017;32767572892,30;15823085102,55;295162363,33;0,00;0,00;21255877689,82
23.07.2017;46231142026,90;21418291139,68;317831289,20;0,00;0,00;29627939128,21
30.07.2017;44890666009,77;19360924119,19;318471136,11;10793543,61;0,00;25817144295,32
06.08.2017;53720893168,08;24053474689,72;320093043,84;12929250,30;0,00;34502610744,07
13.08.2017;64034105430,64;29161053351,96;319661283,82;44598975,78;0,00;40705584989,80
20.08.2017;69192659044,07;27918126333,29;318596320,42;0,00;0,00;48662617534,23
27.08.2017;71809248347,19;31517529778,57;319542631,15;217996716,50;0,00;52897679838,60
03.09.2017;75841707835,36;33059801352,57;348835807,88;0,00;0,00;55618439132,18
10.09.2017;70018089815,18;27797226686,92;405081602,56;98207825,42;0,00;49186857365,91
17.09.2017;59757816343,82;23272527159,32;445726238,98;0,00;0,00;40051147409,87
24.09.2017;62954280981,84;27129873954,84;443271716,75;77580380,44;0,00;41155964742,13
01.10.2017;72047302431,68;28615152628,04;435866669,45;128417861,46;0,00;46668646521,37
08.10.2017;73575423619,73;29550901434,90;436235346,77;157617509,37;0,00;46241181449,23
15.10.2017;97011856641,95;32292086679,09;437236582,90;149512708,19;0,00;46833193467,87
22.10.2017;100437913823,19;28624836350,11;437025998,60;124292467,51;0,00;43499662816,59
29.10.2017;95819797362,63;28270164668,73;438159660,84;116675469,37;0,00;44367385878,43
05.11.2017;123388099786,77;28661500792,56;494443671,54;162104811,73;0,00;46805554489,40
12.11.2017;104979754887,37;30106190878,70;597637605,49;165243179,31;0,00;64702376265,12
19.11.2017;129594711885,88;33284903532,34;645544981,85;165686207,70;0,00;69935933040,23
26.11.2017;146789224290,67;44712118250,54;677815034,58;187605725,90;0,00;88930165466,30
03.12.2017;185258241069,73;44560454568,46;814847511,49;206484986,29;0,00;98227074072,03
10.12.2017;253781735593,31;45501434898,99;831977608,44;263509682,52;0,00;116547709960,73
17.12.2017;326141276696,78;67106371107,75;1132154310,18;462329807,93;0,00;184678363693,36
24.12.2017;244823689711,04;69671214843,84;1279864354,35;469508440,02;0,00;250039322522,76
31.12.2017;216325594543,12;68850777144,52;1401350863,10;768675994,24;0,00;272408832687,03
07.01.2018;294222374388,43;100981177276,00;1478767718,38;2254460630,41;0,00;416222466834,79
14.01.2018;241446796530,47;135503313336,85;1474488550,18;2203405214,68;0,00;363636692175,82
21.01.2018;216740288318,28;112225744106,81;1622821100,21;1608866076,01;0,00;298437906894,69
28.01.2018;193133122544,20;108121955540,08;1612504589,95;1317057887,37;0,00;257791998926,40
04.02.2018;154553293824,21;93953421902,00;2226848162,80;964954684,83;0,00;195506726354,16
11.02.2018;145244590726,04;83813030803,42;2228046516,14;911014993,06;0,00;190050355937,34
18.02.2018;187662857038,65;95077121296,42;2227521080,22;1157727816,23;0,00;227662824224,48
25.02.2018;165406721994,92;82119104314,46;2227758425,02;906298736,69;0,00;180560672304,90
04.03.2018;194289262407,27;83877819099,82;2217572950,20;1010655233,65;0,00;181921928069,05
11.03.2018;149716277655,03;67235677481,79;2224830203,43;757333032,22;0,00;141829189147,53
